計算單位, mV
取樣頻率, 1000 Hz
Sec.(s), mV, pkg_NO
0.158,-2.179378094059406,19
0.159,-2.1590733292079207,19
0.16,-2.1561726485148514,19
0.161,-2.176477413366336,19
0.162,-2.173576732673267,19
0.163,-2.147470606435643,19
0.164,-2.161974009900989,19
0.165,-2.176477413366336,19
0.166,-2.173576732673267,19
0.167,-2.1822787747524752,19
0.168,-2.185179455445544,19
0.169,-2.1706760519801978,19
0.17,-2.1880801361386135,19
0.171,-2.1938814975247523,19
0.172,-2.1822787747524752,19
0.173,-2.179378094059406,19
0.174,-2.179378094059406,19
0.175,-2.1590733292079207,19
0.176,-2.1677753712871284,19
0.177,-2.1677753712871284,19
0.178,-2.153271967821782,19
0.179,-2.1271658415841577,19
0.18,-2.1271658415841577,19
0.181,-2.115563118811881,19
0.182,-2.1358678836633658,19
0.183,-2.1358678836633658,19
0.184,-2.1358678836633658,19
0.185,-2.1503712871287126,19
0.186,-2.161974009900989,19
0.187,-2.1503712871287126,19
0.188,-2.1706760519801978,19
0.189,-2.1677753712871284,19
0.19,-2.1503712871287126,19
0.191,-2.1271658415841577,19
0.192,-2.141669245049504,19
0.193,-2.144569925742574,19
0.194,-2.164874690594059,19
0.195,-2.153271967821782,19
0.196,-2.164874690594059,19
0.197,-2.1590733292079207,19
0.198,-2.161974009900989,19
0.199,-2.1590733292079207,19
0.2,-2.144569925742574,20
0.201,-2.1503712871287126,20
0.202,-2.1561726485148514,20
0.203,-2.176477413366336,20
0.204,-2.205484220297029,20
0.205,-2.1706760519801978,20
0.206,-2.144569925742574,20
0.207,-2.115563118811881,20
0.208,-2.1126624381188113,20
0.209,-2.086556311881188,20
0.21,-2.089456992574257,20
0.211,-2.080754950495049,20
0.212,-2.1068610767326725,20
0.213,-2.080754950495049,20
0.214,-2.083655631188118,20
0.215,-2.089456992574257,20
0.216,-2.0981590346534644,20
0.217,-2.1271658415841577,20
0.218,-2.147470606435643,20
0.219,-2.144569925742574,20
0.22,-2.144569925742574,20
0.221,-2.1561726485148514,20
0.222,-2.1590733292079207,20
0.223,-2.144569925742574,20
0.224,-2.1358678836633658,20
0.225,-2.1271658415841577,20
0.226,-2.1300665222772275,20
0.227,-2.147470606435643,20
0.228,-2.1242651608910887,20
0.229,-2.1010597153465342,20
0.23,-2.1068610767326725,20
0.231,-2.11846379950495,20
0.232,-2.1068610767326725,20
0.233,-2.1358678836633658,20
0.234,-2.121364480198019,20
0.235,-2.141669245049504,20
0.236,-2.147470606435643,20
0.237,-2.1068610767326725,20
0.238,-2.0749535891089104,20
0.239,-2.083655631188118,20
0.24,-2.0778542698019793,20
0.241,-2.1010597153465342,20
0.242,-2.083655631188118,20
0.243,-2.083655631188118,20
0.244,-2.1068610767326725,20
0.245,-2.080754950495049,20
0.246,-2.0778542698019793,20
0.247,-2.0372447400990095,20
0.248,-2.014039294554455,20
0.249,-2.0198406559405937,20
0.25,-1.9966352103960388,21
0.251,-1.985032487623762,21
0.252,-1.9705290841584153,21
0.253,-1.9589263613861385,21
0.254,-1.9618270420792074,21
0.255,-1.944422957920792,21
0.256,-1.9183168316831676,21
0.257,-1.9067141089108908,21
0.258,-1.9212175123762374,21
0.259,-1.9154161509900987,21
0.26,-1.9241181930693063,21
0.261,-1.9328202351485142,21
0.262,-1.9328202351485142,21
0.263,-1.9386215965346527,21
0.264,-1.9328202351485142,21
0.265,-1.895111386138613,21
0.266,-1.8806079826732667,21
0.267,-1.8719059405940592,21
0.268,-1.8487004950495047,21
0.269,-1.8632038985148511,21
0.27,-1.8864093440594059,21
0.271,-1.9241181930693063,21
0.272,-1.9125154702970293,21
0.273,-1.9154161509900987,21
0.274,-1.9212175123762374,21
0.275,-1.9270188737623757,21
0.276,-1.9183168316831676,21
0.277,-1.9502243193069304,21
0.278,-1.9879331683168318,21
0.279,-2.025642017326732,21
0.28,-2.0372447400990095,21
0.281,-2.043046101485148,21
0.282,-2.0981590346534644,21
0.283,-2.1300665222772275,21
0.284,-2.1300665222772275,21
0.285,-2.1126624381188113,21
0.286,-2.141669245049504,21
0.287,-2.153271967821782,21
0.288,-2.132967202970297,21
0.289,-2.141669245049504,21
0.29,-2.153271967821782,21
0.291,-2.1503712871287126,21
0.292,-2.153271967821782,21
0.293,-2.132967202970297,21
0.294,-2.121364480198019,21
0.295,-2.1271658415841577,21
0.296,-2.1068610767326725,21
0.297,-2.1271658415841577,21
0.298,-2.1590733292079207,21
0.299,-2.164874690594059,21
0.3,-2.161974009900989,22
0.301,-2.1503712871287126,22
0.302,-2.1503712871287126,22
0.303,-2.1503712871287126,22
0.304,-2.1590733292079207,22
0.305,-2.1387685643564356,22
0.306,-2.153271967821782,22
0.307,-2.1358678836633658,22
0.308,-2.1300665222772275,22
0.309,-2.132967202970297,22
0.31,-2.1387685643564356,22
0.311,-2.144569925742574,22
0.312,-2.1503712871287126,22
0.313,-2.153271967821782,22
0.314,-2.147470606435643,22
0.315,-2.1880801361386135,22
0.316,-2.199682858910891,22
